id,title,created,price,description,category_id
1,снятие и установка колёс,2023-04-28 14:39:22.346823,400,снятие и установка колёс,1
2,технологическая мойка колёс,2023-04-28 14:39:53.380688,400,технологическая мойка колёс,1
3,балансировка собранных колёс,2023-04-28 14:40:14.508420,1200,балансировка собранных колёс,1
4,обработка ступиц медной смазкой,2023-04-28 14:40:50.000970,200,обработка ступиц медной смазкой,1
5,демонтаж/монтаж шин на диск,2023-04-28 14:41:23.243624,700,демонтаж/монтаж шин на диск,1
6,замена вентиля,2023-04-28 14:41:58.173923,600,замена вентиля,1
